track_name,artist_name,spotify_rank,apple_rank,shazam_rank,deezer_rank,total_rank,avg_rank
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",3,3,1,1,8,2.0000
Pipoco,"Melody, Ana Castela, Dj Chris No Beat",4,2,3,1,10,2.5000
"Sin Seï¿½ï","Ovy On The Drums, Quevedo",2,10,1,1,14,3.5000
"Cartï¿½ï¿½o B","MC Caverinha, KayBlack",4,2,11,1,18,4.5000
Antidepresan,"Mabel Matiz, Mert Demir",2,6,9,1,18,4.5000
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",12,4,3,1,20,5.0000
"Down Under (feat. Colin Hay)","Luude, Colin Hay",2,13,7,1,23,5.7500
"Besos Moja2","Wisin & Yandel, ROSALï¿½",13,7,1,3,24,6.0000
"Lilith (feat. SUGA of BTS) (Diablo IV Anthem)","Halsey, Suga",6,14,4,2,26,6.5000
Komang,"Raim Laode",4,6,18,1,29,7.2500
